Statements,Labels
The Orioles have a team SLG% of .442 and they average 4.95 runs per game (3rd in baseball).,Non Record
Brandon Lowe has recorded at least one hit in 10 of his last 11 appearances in day games against teams that held a winning record.,Record
"The Crew's 8-run comeback is tied for the largest of the season, and is the club's largest comeback win since 2004",Record
"The Braves are 1.5-run favourites against the Royals, with odds of $2.10 available at TAB.",Non Record
Kyle Isbel has recorded at least one RBI in each of the Royals' last three games against AL West opponents that held a winning record.,Record
Suryakumar Yadav became the first Indian to cross 1000 T20I runs in a calendar year.,Record
"Current Royals have 52 career at-bats against Tanner Bibee, hitting .192.",Non Record
"Detroit Tigers have been the hottest team in the majors since August 11 with 31 wins in 42 games, the lowest ERA in baseball, and the largest run differential.",Record
"England's victory was celebrated by fans worldwide, including those in Israel, Italy, Kyrgyzstan, Philippines, Iceland, France, Antarctica, New York, and a south London coffee shop.",Non Record
"Freddie Freeman's home run in game three was his fifth in five straight World Series games, tying the all-time series record set by George Springer.",Record
Pete Crow-Armstrong had an RBI groundout.,Non Record
The Cleveland Guardians rank T6th in the league for runs allowed this season (535).,Non Record
Reds Starter: Rhett Lowder (1-1),Non Record
"The teams have a winning percentage of 40% while chasing at JSCA International Stadium Complex, Ranchi. Looking at these stats, teams will like to bat first on winning the toss.",Non Record
"Considering India's cons are its fielding and middle order bowling. Its spinners have not been that effective, though have managed to take wickets. However, their economy have been expensive.",Non Record
The loss snapped a three-game winning streak for Cleveland.,Non Record
Cody Bellinger hit a solo home run in the fourth inning.,Non Record
Andrew Benintendi has recorded an RBI in three of his last four appearances against AL opponents.,Record
Paul Goldschmidt has recorded two or more total bases in each of his last eight appearances after playing the previous day.,Record
"Zach Neto expressed his joy about achieving a 20-homer, 20-steal season.",Non Record
The T20 World Cup 2024 starts on 1 June with a match between co-hosts USA and Canada at the Grand Prairie Stadium in Texas.,Non Record
"While the Brewers have a higher chance of winning the game, betting on the Rockies to win is recommended due to the 4.6% edge identified when comparing data-led probabilities to the odds currently available.",Non Record
The Dodgers became the first club in the majors to reach 80 wins.,Record
"Jeremy Gordon held his nerve with the ball in the final over, preventing Ireland from reaching their target.",Non Record
Blake Treinen struck out Anthony Rizzo to end the threat in the eighth inning.,Non Record
"The Mets are earning 4.8 runs per game, which is 10th in MLB, with a team batting average of .249.",Non Record
This is the first World Series in which neither team has made an error through the first three games.,Record
"Josh Naylor has 25 doubles, 29 home runs and 101 RBI while hitting .244 for the Guardians. Lane Thomas is 13-for-37 with five doubles and three home runs over the past 10 games.",Non Record
Shanto needs 65 runs to reach 1000 T20I runs,Record
"Pablo Lopez of the Minnesota Twins pitched against the New York Mets on September 10, 2023 at Target Field in Minneapolis, Minnesota.",Non Record
Paul Sewald struck out three in the ninth to secure the save in Game 4,Non Record
"Pinch-hitter Justyn-Henry Malloy doubled leading off the ninth, advanced on Parker Meadows’ groundout and scored on Jace Jung’s groundout.",Non Record
Bangladesh have a 3-1 record against the Netherlands in the T20I format.,Record
Ohtani's 50th home run and 50th stolen base were achieved during this game.,Record
Quinton de Kock and Wayne Parnell impressed in their previous outing and will be keen to continue their form.,Non Record
The Guardians are on their way to the ALCS for the first time since 2016.,Record
San Francisco Giants recent form and player performance are analyzed.,Non Record
USA are expected to field the same side that has brought them two wins in two games.,Non Record
Wheeler expressed his desire to win the Cy Young Award and his focus on personal goals to help the team.,Non Record
"In the starter slot for Thursday, the Angels are going with Tyler Anderson, who is 10-14 with a 3.70 ERA in 30 starts.",Non Record
"The game was held at Angel Stadium of Anaheim with an attendance of 39,370.",Non Record
Ireland could only manage two fours in the first six overs.,Non Record
Cade Smith's 12 strikeouts in 6 1/3 innings are the most in a league division series.,Record
"Mark Adair is sixth on the wicket-taker's list in T20Is this year, with 18 in 10 games.",Record
Jackson Chourio hit an opposite-field go-ahead home run in the ninth inning.,Non Record
Barry McCarthy's brilliant innings led Ireland's fightback.,Non Record
"Scott Edwards, Netherlands' skipper, found it surreal to face India at the SCG.",Non Record
Arshdeep Singh made crucial new-ball incisions to remove both Pakistan openers.,Non Record
Canada's total of 137/7 was the highest score on this ground in three tournament matches.,Record
Brady Singer pitched six strong innings for the Royals.,Non Record
Bumrah castled Marco Jansen and conceded only two runs in a crucial over.,Non Record
"The two teams had met in the semifinals of the last edition of the T20 World Cup as well, where England thrashed India by 10 wickets.",Non Record
Shohei Ohtani became the first major league player to hit 50 home runs and steal 50 bases in a season.,Record
"Avram Grant praised the quality, passion, and desire shown by the Copper Bullets.",Non Record
Manager Brandon Hyde praised Henderson's performance and the team's ability to regain momentum.,Non Record
South Africa achieved their second-largest T20I win in terms of runs.,Record
Bangladesh suffered their biggest loss in terms of runs in T20Is.,Record
Aaron Finch has scored the most 619 runs for the Aussies vs England.,Non Record
Rohit Sharma hit his 599th and 600th sixes in international cricket,Record
Umpires Marais Erasmus and Kumar Dharmasena will be on-field duties at the iconic Melbourne Cricket Ground (MCG).,Non Record
"The White Sox were sitting on a record-tying 120 losses, and their next loss would make them the most losing team in modern MLB history.",Record
The partnership of 170 between Jos Buttler and Alex Hales is the highest for any wicket in a men's T20 World Cup.,Record
The Padres have reached the postseason for the third time in five years and the eighth time in franchise history.,Record
The match could signify a generational change for the Mexican team.,Non Record
Jake Bauers' go-ahead single,Non Record
"Jos Buttler is a more accomplished captain, settled in the rigmarole of the job and his tactics.",Non Record
"India and Ireland have faced each other only once in a T20 World Cup match during the 2nd edition in 2009, where India emerged victorious by defeating Ireland with 8 wickets at Nottingham in England.",Non Record
"The match was played at the MCG in front of 90,000 spectators.",Non Record
Rohit Sharma's 121* is his highest individual score in T20 cricket.,Record
The Dodgers came back twice late to win Game 1.,Non Record
Babar Azam mentioned that Pakistan batters need to step up and chip in with consistent performances,Non Record
Aaron Nola's inconsistency throughout the season and his critical performance in Game 6 are discussed.,Non Record
"Kyle Schwarber's 19th postseason home run, a record for left-handed hitters",Non Record
"Walker Buehler commented, 'There’s just a lot of ways we can win baseball games. Obviously the superstars we have on our team and the discipline, it just kind of all adds up.'",Non Record
Bangladesh's standout performer Taskin Ahmed has taken eight wickets in the Super 12s.,Non Record
Mookie Betts singled with two outs and Teoscar Hernández homered into the right-center pavilion.,Non Record
"Volpe became the second player with multiple extra-base hits and stolen bases in a World Series game, joining Eddie Collins from 1910.",Record
India and Ireland are set to clash in the upcoming 2024 ICC Men’s T20 World Cup at Nassau County International Cricket Stadium in New York on June 5th.,Non Record
Camilo Doval retired Chourio on a fly to deep center to end a bases-loaded threat in the sixth inning.,Non Record
Aaron Judge has hit a home run in five of his last six appearances after playing the previous day.,Non Record
The Dodgers became the first team to win a World Series clincher after trailing by five runs.,Record
Matt Strahm and Jeff Hoffman held the Braves scoreless over the final two innings to preserve the 5-4 victory.,Non Record
Jackson Chourio expressed gratitude for the opportunity to contribute.,Non Record
The Padres made baseball history by clinching their postseason spot with a triple play the night before.,Record
Kyle Manzardo hit a home run in the first inning.,Non Record
Edwards acknowledged that Super Eights progression is now out of their hands.,Non Record
"Yankees fans chanted 'Re-sign Soto!' during the postgame festivities, indicating his potential high-value contract.",Non Record
"The Yankees' offseason plan included acquiring Juan Soto and Yoshinobu Yamamoto, but Yamamoto chose to team with Ohtani.",Non Record
Astros second baseman Jose Altuve expressed heartbreak over the loss and emphasized the need to move on.,Non Record
Ryan O’Hearn hit a two-out RBI double on the first pitch delivered by left-hander Erik Miller.,Non Record
Charles is 12 away from becoming the ninth West Indies batter to 1000 T20I runs.,Record
"Rawalpindi will host the third game on Sunday, and the series will move to Lahore for the remaining games on April 25 and 27.",Non Record
"The Astros' 2.51 ERA in August was the best in the Major Leagues, and their .185 team opponents' batting average was the second lowest in any month by any team in Major League history.",Record
Ish Sodhi took 2 wickets for 25 runs.,Non Record
WI and Afghanistan look to protect unbeaten records in last clash before Super Eight,Non Record
Luke Weaver handled the ninth inning for his first career save in 199 major league appearances.,Record
"Ireland’s bowlers turned the tide, striking at regular intervals to stall the Proteas’ progress.",Non Record
"Chicago dropped a franchise-record 15th straight at home, lost its 17th in 19 overall and was swept for the 24th time.",Record
"Dinesh Karthik made a hilarious video on the flight from Visakhapatnam to Rajkot ahead of the 4th T20 match on June 17, 2022.",Non Record
"The match was officiated by Gambian referee Bakary Gassama, assisted by Abdoulie Bojang Jallow and Nfally Jarju, with Omar Salah as the fourth official.",Non Record
"In their last 5 games, Morocco has beaten Sierra Leone thrice, while Sierra Leone has won once.",Non Record
Freddie Freeman hit a two-run homer in the first inning.,Non Record
Yoshinobu Yamamoto struck out eight batters in four innings.,Non Record
The T20I series will be followed by two Tests.,Non Record
"Reds: 6-4, .220 batting average, 2.28 ERA, outscored opponents by four runs in the last 10 games.",Non Record
Guardians' Josh Naylor hit a sacrifice fly to score the first Guardians run of the game.,Non Record
Shreyas Iyer provided the late charge with an unbeaten 57 as India racked up a massive 199 for 2.,Non Record
"Laga timnas Indonesia vs Vietnam tersebut bakal digelar di Stadion Abdullah bin Khalifa, Doha, pada Jumat (19/1/2024) pukul 21.30 WIB.",Non Record
"Australia chased 209, their second highest successful run-chase in T20 international and their highest chase against India in T20Is.",Record
"Brayan Bello pitched eight innings of two-hit ball, the longest outing of his career.",Record
Yoshinobu Yamamoto allowed one hit over 6⅓ innings.,Non Record
Time: 12:10pm AEST,Non Record
Paul Goldschmidt has recorded at least one RBI in each of the Cardinals' last five games.,Record
"Nola reflected on his achievement, saying, 'It’s pretty cool. Curt was an unbelievable pitcher. It’s cool to be up there with him and those guys. That’s all good stuff at the end of the day, but I just want to win for the team.'",Non Record
Yashasvi Jaiswal was unavailable for selection due to a sore right groin.,Non Record
Ishan Kishan scored 89 runs off 56 balls.,Non Record
"In the last 10 T20Is where India batted first, they have won on each of the six occasions where they've made 185 or more. They've failed to defend in three of the four games where they've fallen short of this score.",Record
Taylor Ward put the Angels up 1-0 with a solo home run to center field in the bottom of the first.,Non Record
"However, PNG's determination and ability to spring surprises could make this an interesting contest.",Non Record
Jos Buttler will continue to lead the English side.,Non Record
"The Dragons will fancy their chances of making an impression in this group, though, and they will be bidding to end a run of four games without a goal in Monday night's contest.",Non Record
"Paul Goldschmidt extended his streak with at least one double to five consecutive games, the longest by a Cardinal since Matt Carpenter doubled in six games in a row in 2017.",Record
India first team to win the men's T20 World Cup unbeaten,Record
The last match between Lithuania and Cyprus ended with a 1-0 victory for Cyprus in an international friendly.,Non Record
"White Sox GM Chris Getz expressed surprise at the team's record-breaking losses, comparing the situation to the 2003 Detroit Tigers who later made it to the World Series.",Non Record
"Jason Heyward homered to right center (397 feet), scoring Victor Caratini.",Non Record
"Hendricks' career includes a top-three Cy Young Award finish in 2016, starting Game 7 of the 2016 World Series, and having the ninth most strikeouts in franchise history.",Record
David Hamilton injured a finger when he tried to bunt and left the game in the top of the ninth.,Non Record
Manager Ron Washington praised Detmers' command and use of offspeed pitches.,Non Record
Shubman Gill became the fifth Indian to have scored hundreds in all three international formats.,Record
"Sri Lanka recorded their lowest T20 total, being dismissed for 77.",Record
"The match was played in front of a capacity crowd of 90,293 at the MCG.",Non Record
"All-rounder Hardik Pandya, who suffered from cramps towards the end of Pakistan match, is alright and fit to play",Non Record
San Marino's 1-0 win over Liechtenstein was their first official victory in 20 years.,Non Record
"Most Runs: Dasun Shanaka - 430 runs, Rohit Sharma - 411 runs.",Non Record
Baumann pitched the ninth inning.,Non Record
"The 2024 season has been historically bad for the White Sox, with the team suffering its 103rd loss of the season.",Record
"Of particular interest will be Darvish's matchups against countryman Ohtani, whom he has held to one hit in five at-bats, with two strikeouts.",Non Record
India decided to play Rishabh Pant ahead of Dinesh Karthik in the final Super 12 game.,Non Record
Rohit Sharma and Virat Kohli struggled against England's bowling.,Non Record
Yankees manager Aaron Boone praised the team's resilience after a tough loss the previous night.,Non Record
India win their second T20 World Cup trophy.,Record
India recorded a historic 10-wicket win in Harare.,Record
Pat Murphy credited the Cardinals' pitching for their performance.,Non Record
Tyler O'Neill hit a home run in the top of the first inning.,Non Record
"Despite playing 13 times at the Sir Vivian Richards Stadium, this was England's first T20I at the venue",Non Record
"Surprise at the selectors not considering Hemraj, who performed well in CPL and Abu Dhabi T10.",Non Record
Rohit Sharma's 121* is the highest score for an Indian captain in T20Is and the fourth-highest individual score for India in T20Is.,Record
The Phillies lost the game 10-0 to the Astros.,Non Record
Suryakumar Yadav talked about the importance of players needing to be flexible to build more options in the line-up.,Non Record
"The Phillies' offense struggled initially, swinging at nearly 48.5 percent of pitches out of the zone through five scoreless innings.",Non Record
Alex Hales was named Player of the Match.,Non Record
Kiké Hernández tied Babe Ruth for postseason home runs with his 15th career postseason home run.,Record
Shubman Gill expressed disappointment with the team's performance and his own dismissal at a crucial stage,Non Record
Shohei Ohtani's dog delivered the first pitch to Ohtani.,Non Record
Tim Pringle was named Player of the Match for his performance of 3 wickets for 20 runs.,Record
"Paul Skenes has already blown past the franchise’s rookie strikeout record, now sitting at 167.",Record
"Sanju Samson scored his maiden T20I hundred in just 40 balls, the second quickest hundred by an Indian in T20Is.",Record
Austria beats Netherlands 3-2 in a thrilling match.,Non Record
Mohammad Nawaz c Ervine b Evans 22 (18b 1x4 1x6 36m) SR: 122.22,Non Record
"Corey Seager became just the fourth player ever to win the World Series MVP award twice, alongside hall of famers Reggie Jackson, Sandy Koufax and Bob Gibson.",Record
Pakistan's win ended India's slim chances to reach the Asia Cup final.,Non Record
Yankees' RHP Luis Gil threw 80 pitches in a rehab game for Double-A Somerset.,Non Record
Ryan McMahon’s homer in the fourth was Colorado’s only damage off of Tobias Myers.,Non Record
Babar Azam and Co. find themselves at the fifth position on the points table. Zimbabwe are placed one spot above them after sharing spoils with South Africa.,Non Record
Jackson Chourio's RBI single,Non Record
"Yuzvendra Chahal dismissed Heinrich Klaasen, continuing his success against him on spinner-friendly surfaces.",Non Record
"In the fifth inning, two errors and a missed out at first base gave the Dodgers three extra outs.",Non Record
"Pakistan's central contracts were up for review at the end of the month, with expected changes.",Non Record
"With both teams losing their first match, either side will look to salvage a comeback.",Non Record
"Freddie Freeman provided a crucial, two-run single as the Dodgers erased a five-run deficit in the fifth inning.",Non Record
"The Braves’ starting pitchers had allowed three runs or fewer in 25 straight games, setting a franchise record that was also the sixth-longest streak in MLB history.",Record
J. Miranda received a yellow card in the 39th minute.,Non Record
"Based on advanced machine learning and data, Stats Insider has simulated the result of Saturday's Cincinnati vs Pittsburgh MLB match-up 10,000 times.",Non Record
"Ghana's squad includes two new players, Ibrahim Sulemana and Brandon Thomas-Asante, who hope to make their debuts and contribute to a victory for Ghana.",Non Record
Buttler will overtake Eoin Morgan as England's all-time leading run-scorer in the format if he makes at least 64 runs,Record
"Virgil van Dijk will join Nathan Ake, Stefan de Vrij, and Denzel Dumfries in the Dutch back four unless changes are made.",Non Record
Rohit Sharma is the top-scorer in T20Is at Lauderhill with 196 runs.,Record
Mitchell Marsh lost the toss and Richie Berrington sent Australia into bat.,Non Record
The Texas Rangers won their first World Series championship in franchise history by defeating the Arizona Diamondbacks 4-1 in the series.,Record
"The Red Sox committed their 101st error of the season, the first team to surpass 100 errors.",Record
Freddie Freeman hit a two-run single and Teoscar Hernandez hit a game-tying double.,Non Record
"Cave hit sacrifice fly to center, Jones scored in the 9th inning.",Non Record
Ronald Acuña Jr. became the first 30/60 player in baseball history.,Record
Juan Soto went 3 for 5 and threw out Salvador Perez in the second inning trying to score from second on Melendez’s single to right.,Non Record
Ohtani also stole his 48th base of the season.,Non Record
"The Astros will have Hunter Brown (11-8, 3.57 ERA) start, while the Mariners will counter with Bryce Miller (11-8, 3.06 ERA).",Non Record
Trey Sweeney of the Detroit Tigers hit a home run during the third inning.,Non Record
Cubs: RHP Ethan Roberts exited with ankle soreness after pitching 1 1/3 innings of relief.,Non Record
"Ryan Helsley tied the franchise record for saves with his 48th save of the season, equaling the mark set by Trevor Rosenthal in 2015.",Record
Rohit Sharma's 50 when India were 52 is the lowest team total when a batter has made a half-century in T20Is.,Record
"Tanzania scored the fewest goals of all 24 teams during the qualifiers, with three goals in six matches.",Record
"Phillies slugger Kyle Schwarber commented, 'Did we want it to be on our field? No. But they’re going to have to do it somewhere. The focus is on us, still. We’re going to keep pushing until the very end.'",Non Record
Zach Eflin gets the nod for the Baltimore Orioles on Sunday at Coors Field against Brenton Doyle and the Colorado Rockies.,Non Record
This was a much-improved display from England after faltering against Ireland.,Non Record
Litton Das is 53 runs short of becoming the third Bangladesh batter to score 2000 T20I runs,Record
"Rohit Sharma expressed satisfaction with the team's performance and his personal milestone of 4,000 T20I runs.",Record
Jose Iglesias added a two-run single off José Ruiz.,Non Record
The victory snapped a streak of 20 straight games in which the White Sox lost Chris Flexen's starts — the longest such stretch in MLB history.,Record
"Kohli passed 4,000 T20 international runs with a boundary off Liam Livingstone.",Record
The Brewers inched closer to playing October baseball for the sixth time in the last seven years.,Non Record
Craig Bellamy earned his first win as Dragons boss in last month's reverse fixture following a lightning start by his side.,Record
Quinton de Kock and Rilee Rossouw set a tournament record with a 163-run partnership for the second wicket.,Record
Bobby Witt Jr. has recorded a Double in four of the Royals' last five games as road underdogs.,Record
The match-up between the Twins and Orioles at Target Field is scheduled to start at 10:10am AEST on Saturday.,Non Record
The Mets will face the Philadelphia Phillies in a best-of-five Division Series.,Non Record
Suryakumar Yadav scored 57 runs off 21 balls in the last six overs.,Non Record
Mark Wood took out Shikhar Dhawan's leg stump at 92mph.,Non Record
India won the match after two thrilling super overs.,Non Record
Milwaukee Brewers recent form and player performance are analyzed.,Non Record
"According to Stats Insider's model, the Mets (+1.5) have a 57% chance of covering the line, while the 8.5-run Over/Under has a 52% chance of going Over.",Non Record
Five Dodgers relievers held the Padres scoreless over the final six innings in a 7-5 victory in Game 1.,Non Record
Vietnam started their campaign in Group F with a 2-0 win over the Philippines in Manila.,Non Record
"Babar Azam was not letting heads fall, telling Nawaz he was still his match-winner",Non Record
Lane Thomas hit a three-run home run in the first inning.,Non Record
Australia won by 4 wickets (with 4 balls remaining),Non Record
Boubakar Kouyate handled a cross and Traore converted his third penalty of the tournament.,Non Record
"Rohit Sharma holds the record for scoring the most runs as an Indian captain in T20Is, surpassing Virat Kohli.",Record
Regragui emphasized the team's focus on winning the match to secure the top spot in the group.,Non Record
"The latest continental campaign in Cote d’Ivoire ended in bitter disappointment for Morocco, with the Atlas Lions suffering an early exit following a 2-0 defeat to South Africa in the round of 16.",Non Record
"India achieved their biggest-ever win in terms of runs in T20Is, defeating New Zealand by 168 runs.",Record
JJ Bleday hit a first-pitch fastball 104.4 mph off the bat into left-center for his 39th double of the season.,Record
"Shohei Ohtani singled, contributing to the Dodgers' scoring in the seventh inning.",Non Record
Mali scored the second fastest goal in the tournament in 133 seconds.,Record
Vladimir Guerrero Jr. has recorded at least one hit in each of the Blue Jays' last 22 games against AL East opponents that held a winning record.,Record
"Aaron Nola earned a rousing standing ovation from the crowd of almost 40,000 fans after he finished the seventh inning.",Non Record
The Diamondbacks had a remarkable postseason run that finally fizzled.,Non Record
None of the top five ranked African nations will be present in the quarter-finals.,Non Record
Axar Patel scored 65 off 31 balls,Non Record
An Indian team with a new captain and a new coach looking to chart their roadmap for the T20 World Cup 2026 to be held on home soil.,Non Record
"India win by 24 runs to reach semi-finals and leave Australia on brink of exit, needing Bangladesh to beat Afghanistan.",Record
Corey Seager became the first purely left-handed-hitting shortstop in Major League history to hit 200 home runs.,Record
Namibia achieved the highest score in a T20 World Cup Super Over with 21 runs.,Record
The Dodgers hit their second-most home runs (24) in a single postseason in franchise history.,Record
"Phillies' Kyle Schwarber hit his fourth homer of the series in Game 4, setting a record for most postseason homers by a left-handed batter.",Record
"Bangladesh were decimated by South Africa and suffered defeat by 104 runs, while Zimbabwe clinched a thriller against Pakistan in the last over.",Non Record
"While England beat the Afghans in their first game, the Aussies secured a victory against Sri Lanka following their loss at the hands of Kane Williamson's New Zealand.",Non Record
"Rohit Sharma completed his 4,000 runs in T20 internationals.",Record
Rachin Ravindra claimed his first half-century in the format with 68 runs off 35 balls.,Record
"Freeman has now homered in six consecutive World Series games, breaking a tie with George Springer.",Record
Cleveland became the first team in AL postseason history to score five runs before recording an out.,Record
Elly De La Cruz became the 3rd player in MLB history to have 100 stolen bases in their first two big league seasons.,Record
Arizona Diamondbacks won the NLCS Game 7 against the Philadelphia Phillies with a score of 4-2.,Non Record
"The Dodgers outscored the Mets by 21 runs so far this series, a margin that’s been surpassed only once in LCS history.",Record
Ronald Acuña Jr. became the first person in MLB history to hit 30 homers and steal 60 bases in a season.,Record
Sri Lanka was reduced to 51 for 3 in 6.1 overs from 44 for 0 in 4.4 overs.,Non Record
Riyan Parag picked up three wickets and was the pick of the bowlers in the series opener.,Non Record
Pakistan played four finals previously and has won two titles.,Non Record
Yoshinobu Yamamoto walked back to his dugout and made the slightest tip of his cap to cheering fans.,Non Record
Nazmul Hossain has scored a total of 105 runs in three matches.,Non Record
Mitchell Marsh admitted he thought they were done but praised Tim David's calmness and confidence.,Non Record
Bryce Harper echoed Castellanos' sentiments,Non Record
Clarke Schmidt and Nestor Cortes combined on a four-hit shutout against the Cubs.,Non Record
Hardik Pandya hit a half-century off 27 balls.,Non Record
This series featured the most sixes in a bilateral T20I series.,Record
"In Game 4, Noel's deep left field drive was caught at the warning track by Alex Verdugo, preventing another late-inning miracle.",Non Record
Shakib Al Hasan hit an unbeaten 64 against the Netherlands.,Non Record
India restored normal service with back-to-back victories after losing the series opener.,Non Record
Yankees right fielder Juan Soto singled in the third inning.,Non Record
"USA's next fixture is against India, and a victory in their final group game against Ireland should secure their place in the Super 8 stage.",Non Record
The Dodgers achieved the largest shutout victory margin in their postseason history.,Record
Jeff McNeil has recorded at least one hit in each of his last 10 appearances against the Red Sox.,Record
Spencer Torkelson highlighted the need to stay focused and not look too far ahead.,Non Record
Saad Bin Zafar emphasized that Canada wants to play quality cricket and express themselves without pressure.,Non Record
Morocco's head coach Walid Regragui's availability is a major boost for the team.,Non Record
Emmanuel Rivera went 4 for 4 with two homers and four RBIs to lead the Baltimore Orioles to a 9-2 win over the Minnesota Twins.,Non Record
Skubal and the team decided it was smart not to come out for the seventh inning due to discomfort in catching the ball.,Non Record
Brad Currie took 2 wickets for 16 runs.,Non Record
De Kock reflected on the pitch conditions and praised the team's bowling performance in the powerplay.,Non Record
"India’s T20 World Cup 2024 journey has been a strange one. They do not have any batter who features in the top 15 run-scorers of the ICC Men’s T20 World Cup 2024, which is not usual.",Non Record
Tanzim Hasan Sakib showed his growing skills,Non Record
Dansby Swanson has recorded at least one Double in four of the Cubs' last five games against the Reds.,Record
Dasun Shanaka took 2 wickets for 4 runs,Non Record
Axar Patel took 2 wickets for 18 runs.,Non Record
"India (probable): 1 KL Rahul, 2 Rohit Sharma (capt), 3 Virat Kohli, 4 Suryakumar Yadav, 5 Hardik Pandya, 6 Dinesh Karthik (wk), 7 Axar Patel, 8 Deepak Chahar, 9 Bhuvneshwar Kumar, 10 R Ashwin/Yuzvendra Chahal, 11 Arshdeep Singh.",Non Record
The highest score at the venue is 224 - posted by the West Indies against England in 2022.,Record
The Men’s T20 World Cup match between Ireland and Afghanistan was abandoned without a ball being bowled because of rain at the Melbourne Cricket Ground.,Non Record
The White Sox clinched their 19th consecutive series loss.,Record
David Festa has received mixed reviews through his first 10 starts and has lost four in a row.,Non Record
Rhys Hoskins mentioned the importance of playing good baseball to be prepared for the upcoming Wild Card Series.,Non Record
"Marcel Sabitzer scored Austria's third goal, securing the victory.",Non Record
"Neto singled to left, Adell scored.",Non Record
Coach: Juan Micha.,Non Record
The White Sox avoided becoming the first team in baseball history to lose 60 games at home in one season.,Record
Rizwan: 'We decided we're going to do hard work and attack these guys',Non Record
Amini added that their journey has been amazing so far and said that they will have to bowl out of their skins if they are to defend the target.,Non Record
Bryan Reynolds has recorded two or more total bases in each of the Pirates' last 11 games at PNC Park against AL Central opponents that held a winning record.,Record
WICKET! Shoaib c Buttler b Archer 11 (Oman 47 all out),Non Record
Vikramjit Singh goes big with the slog sweeps.,Non Record
The wicket in Dubai has become quicker and simpler to bat on as the competition has progressed.,Non Record
Marlins starter Darren McCaughan allowed three runs and six hits in 4 2/3 innings.,Non Record
"Rossouw and Quinton de Kock put on 163 runs, the highest partnership in the history of the T20 World Cup.",Record
Axar Patel equalled the joint ninth most sixes hit in an innings for India in T20 internationals with 6 sixes.,Record
The Diamondbacks lost for the first time in the World Series at Chase Field.,Record
Lithuania will be aiming to kick off their Nations League campaign in great manner when they take on Cyprus at S. Dariaus ir S. Girėno stadionas.,Non Record
Both teams' goalkeepers made 2 saves each.,Non Record
Namibia beat Oman in the third match of the 2024 T20 World Cup after a Super Over.,Non Record
"The Guardians are 62-2 when leading after the sixth inning, the best record in the majors.",Record
The USA team aims to capture the imagination of mainstream American sports fans with their performance.,Non Record
Saturday tied a Blue Jays franchise record for largest shutout win.,Record
The Phillies' magic number to clinch the division dropped to 9.,Non Record
Jason Holder took 4 for 7 as England was bowled out for 103 in 19.4 overs.,Non Record
"Anrich Nortje was mentioned as a key bowler for South Africa, having equalled Dale Steyn's record for most wickets by a South African at T20 World Cups.",Record
Ty Madden recorded his first career win.,Record
Virat Kohli hit his first six of the World Cup,Record
"India recorded the second-highest T20I score, three short of 300.",Record
Luis Chávez scored in the 43rd minute to tie the aggregate score 2-2.,Non Record
3B Rafael Devers missed his third straight game due to shoulder soreness and will DH for a couple of games before playing the field on Sunday.,Non Record
Brayan Rocchio has recorded at least one total base in each of the Guardians' last eight games against opponents that held a winning record.,Record
Giancarlo Stanton hit a clutch home run in the eighth inning to secure a 3-2 win for the Yankees.,Non Record
"After Oman, PNG will take on Scotland and Bangladesh in Group B. The top two nations from Group A and B will advance to the Super 12 stage of the tournament, joining the likes of Australia, India, England and the reigning champions the West Indies. Matches will be played in Dubai, Sharjah, Abu Dhabi and Oman.",Non Record
"The Dodgers’ NL record for one postseason reached 33 consecutive scoreless innings, tying the postseason record of the 1966 Orioles.",Record
Shadab Khan's 4-26 were the best figures in a T20 World Cup semi-final to date.,Record
Luis Gil expressed satisfaction with his performance in his first start since returning from the injured list.,Non Record
Naveen-ul-Haq dismissed David Warner and Steven Smith.,Non Record
"American batter Jones stated, 'We don't want to regret anything,' emphasizing their all-out attack strategy.",Non Record
Shohei Ohtani became the first player in history to reach 50 home runs and 50 stolen bases in a season.,Record
"Chicago, which has the worst record in baseball at 31-101 and is 4-30 since the All-Star break, is looking to end a four-game winless streak.",Record
"Brewers first baseman Rhys Hoskins played in the postseason in 2022, the last of his six seasons with Philadelphia, and acknowledged it's an unusual situation.",Non Record
England restricted India to 124 for seven in the first innings.,Non Record
Seth Lugo tied Atlanta ace Chris Sale and Detroit lefty Tarik Skubal for most wins in the majors.,Non Record
The crowd was superb and supported India in huge numbers.,Non Record
Dave Roberts mentioned the absence of key relievers Alex Vesia and Daniel Hudson as a factor in the game.,Non Record
Alonso sent Nola’s first pitch of the second deep to right field.,Non Record
Babar Azam's fancy shot goes wrong,Non Record
"Corey Seager hit his 30th home run of the season, which also was his 200th career homer.",Record
"England's Sam Curran: 'This is very special. I don't think I should be getting this (player of the match) the way Stokesy played, to get a 50 in the final. We are going to enjoy this occasion.'",Non Record
India chose to bat first after winning the toss.,Non Record
"For the underdog White Sox (+1.5) to cover the line, TAB offers odds of $1.65.",Non Record
"Bermuda captain Delray Rawlins is not fixated on Canada, their opponents in the opening match of the ICC Men's T20 World Cup Americas Regional Qualifier at White Hill Field.",Non Record
Avesh Khan picked up 4-18.,Non Record
The Guardians earned a bye to reach the ALDS by finishing with the second best record in the league on the way to winning the AL Central.,Record
"Analysts predict a close game between the Minnesota Twins and Toronto Blue Jays on August 31, 2024.",Non Record
Fernando Tatis Jr. expressed that being hit by a pitch gave him more energy and confidence in his team.,Non Record
