Statements                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Sport
The Dodgers hit their second-most home runs (24) in a single postseason in franchise history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , baseball
"Phillies' Kyle Schwarber hit his fourth homer of the series in Game 4, setting a record for most postseason homers by a left-handed batter.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ", baseball
"Rohit Sharma completed his 4,000 runs in T20 internationals.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ", cricket
Rachin Ravindra claimed his first half-century in the format with 68 runs off 35 balls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , cricket
"Freeman has now homered in six consecutive World Series games, breaking a tie with George Springer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ", baseball
Cleveland became the first team in AL postseason history to score five runs before recording an out.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
Elly De La Cruz became the 3rd player in MLB history to have 100 stolen bases in their first two big league seasons.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
"The Dodgers outscored the Mets by 21 runs so far this series, a margin that’s been surpassed only once in LCS history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ", baseball
Ronald Acuña Jr. became the first person in MLB history to hit 30 homers and steal 60 bases in a season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
This series featured the most sixes in a bilateral T20I series.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , cricket
The Dodgers achieved the largest shutout victory margin in their postseason history.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , baseball
Jeff McNeil has recorded at least one hit in each of his last 10 appearances against the Red Sox.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , baseball
Dansby Swanson has recorded at least one Double in four of the Cubs' last five games against the Reds.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , baseball
The highest score at the venue is 224 - posted by the West Indies against England in 2022.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , cricket
The White Sox clinched their 19th consecutive series loss.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , baseball
The White Sox avoided becoming the first team in baseball history to lose 60 games at home in one season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , baseball
Bryan Reynolds has recorded two or more total bases in each of the Pirates' last 11 games at PNC Park against AL Central opponents that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
"Rossouw and Quinton de Kock put on 163 runs, the highest partnership in the history of the T20 World Cup.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ", cricket
Axar Patel equalled the joint ninth most sixes hit in an innings for India in T20 internationals with 6 sixes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , cricket
The Diamondbacks lost for the first time in the World Series at Chase Field.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
"The Guardians are 62-2 when leading after the sixth inning, the best record in the majors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ", baseball
Saturday tied a Blue Jays franchise record for largest shutout win.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , baseball
"Anrich Nortje was mentioned as a key bowler for South Africa, having equalled Dale Steyn's record for most wickets by a South African at T20 World Cups.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ", cricket
Ty Madden recorded his first career win.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
Virat Kohli hit his first six of the World Cup                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , cricket
"India recorded the second-highest T20I score, three short of 300.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ", cricket
Brayan Rocchio has recorded at least one total base in each of the Guardians' last eight games against opponents that held a winning record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
"The Dodgers’ NL record for one postseason reached 33 consecutive scoreless innings, tying the postseason record of the 1966 Orioles.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ", baseball
Shadab Khan's 4-26 were the best figures in a T20 World Cup semi-final to date.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , cricket
Shohei Ohtani became the first player in history to reach 50 home runs and 50 stolen bases in a season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , baseball
"Chicago, which has the worst record in baseball at 31-101 and is 4-30 since the All-Star break, is looking to end a four-game winless streak.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ", baseball
"Corey Seager hit his 30th home run of the season, which also was his 200th career homer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ", baseball
The Guardians earned a bye to reach the ALDS by finishing with the second best record in the league on the way to winning the AL Central.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , baseball
"Ohtani enters October coming off one of the most staggering months of his career, slashing a ridiculous .393/.458/.766 with 10 home runs in September, helping L.A. lock down the best record in baseball.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ", baseball
Chicago White Sox set a modern major league record with their 121st loss.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , baseball
"Shohei Ohtani achieved a career-high 104 runs this season, surpassing his previous record of 103 set in 2021.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ", baseball
Sam Curran has been the best bowler for England with 10 wickets to his name.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , cricket
"Ohtani became the third player in major league history with at least six hits, three homers, and 10 RBIs in a game.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ", baseball
Australia set their highest T20I score on home soil of 241 for 4.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , cricket
Miami matched a season high with 12 runs and set a season high with 18 hits.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , baseball
"Yashasvi Jaiswal became the youngest Indian batsman to post 75-plus runs in T20Is, breaking Rohit Sharma's 13-year-old record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ", cricket
Ottneil Baartman is the leading South African wicket-taker in T20s this year with 34 wickets at an average of 15.17.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , cricket
"The Dodgers set a postseason record for walks (42) and runs (46, 6.7/per game) in a series.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ", baseball
Pakistan's powerplay score of 28 for 2 is their lowest against Zimbabwe.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , cricket
"Emmanuel Clase picked up his league-leading 45th save, a career high, moving one save closer to the Guardians’ single-season record of 46 held by Jose Mesa (1995).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ", baseball
The White Sox tied the major-league record for most losses in a season with 120 losses.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , baseball
Atlanta improves to 96-50 on the season — the best record in the majors.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , baseball
"The Dodgers had the longest scoreless streak to close out a playoff series in the 21st century, and third-longest in the history of the sport.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ", baseball
Sam Curran needed one more wicket to reach 50 in T20Is.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , cricket
Evan Phillips picked up his 17th save in a clean ninth inning.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
West Indies posted a record-breaking total on the board courtesy of a swash-buckling 98 from Nicholas Pooran.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , cricket
Garrett Crochet tied an AL record by striking out seven consecutive batters to start the game.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
Jazz Chisholm has recorded a Double in three of his last four appearances after playing the previous day.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , baseball
